year,month,day,hour,open,high,low,close,adj close
1990,4,6,19,641.268982,641.268982,641.268982,641.268982,641.268982
1990,4,9,19,633.481995,633.481995,633.481995,633.481995,633.481995
1990,4,10,19,632.085999,632.085999,632.085999,632.085999,632.085999
1990,4,11,19,634.692993,634.692993,634.692993,634.692993,634.692993
1990,4,12,19,639.614014,639.614014,639.614014,639.614014,639.614014
1990,4,16,19,640.013977,640.013977,640.013977,640.013977,640.013977
1990,4,17,19,641.872986,641.872986,641.872986,641.872986,641.872986
1990,4,18,19,640.528015,640.528015,640.528015,640.528015,640.528015
1990,4,19,19,643.906006,643.906006,643.906006,643.906006,643.906006
1990,4,20,19,641.685974,641.685974,641.685974,641.685974,641.685974
1990,4,23,19,643.909973,643.909973,643.909973,643.909973,643.909973
1990,4,24,19,638.797974,638.797974,638.797974,638.797974,638.797974
1990,5,1,19,639.01001,639.01001,639.01001,639.01001,639.01001
1990,5,2,19,636.153992,636.153992,636.153992,636.153992,636.153992
1990,5,3,19,642.159973,642.159973,642.159973,642.159973,642.159973
1990,5,4,19,643.093994,643.093994,643.093994,643.093994,643.093994
1990,5,7,19,641.945984,641.945984,641.945984,641.945984,641.945984
1990,5,8,19,642.984009,642.984009,642.984009,642.984009,642.984009
1990,5,9,19,645.012024,645.012024,645.012024,645.012024,645.012024
1990,5,11,19,643.312012,643.312012,643.312012,643.312012,643.312012
1990,5,14,19,638.921997,638.921997,638.921997,638.921997,638.921997
1990,5,15,19,640.85498,640.85498,640.85498,640.85498,640.85498
1990,5,16,19,639.336975,639.336975,639.336975,639.336975,639.336975
1990,5,17,19,644.440979,644.440979,644.440979,644.440979,644.440979
1990,5,21,19,647.216003,647.216003,647.216003,647.216003,647.216003
1990,5,22,19,647.401001,647.401001,647.401001,647.401001,647.401001
1990,5,23,19,646.247009,646.247009,646.247009,646.247009,646.247009
1990,5,25,19,647.359985,647.359985,647.359985,647.359985,647.359985
1990,5,28,19,640.130005,640.130005,640.130005,640.130005,640.130005
1990,5,29,19,641.140015,641.140015,641.140015,641.140015,641.140015
1990,5,30,19,640.580017,640.580017,640.580017,640.580017,640.580017
1990,5,31,19,636.400024,636.400024,636.400024,636.400024,636.400024
